"ID","group","trial_type","trial_role","token_opp","token_self","combined_earning","split_opp","split_self","splitperc_opp","splitperc_self","accept","accepted_amount","accepted_perc","proposed_perc","proposed_amount"
1007,"Control",2,1,1,2,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1007,"Control",2,1,2,3,15,9,6,60,40,1,6,40,NA,NA
1007,"Control",1,1,2,2,12,10.8,1.2,90,10,1,1.2,10,NA,NA
1007,"Control",3,1,2,1,9,7.2,1.8,80,20,1,1.8,20,NA,NA
1007,"Control",1,1,2,2,12,7.2,4.8,60,40,1,4.8,40,NA,NA
1007,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1007,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1007,"Control",3,1,2,1,9,6.75,2.25,75,25,1,2.25,25,NA,NA
1007,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1007,"Control",1,1,2,2,12,9,3,75,25,1,3,25,NA,NA
1007,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1007,"Control",3,1,3,2,15,9,6,60,40,1,6,40,NA,NA
1007,"Control",3,1,3,2,15,13.5,1.5,90,10,1,1.5,10,NA,NA
1007,"Control",1,1,1,1,6,4.8,1.2,80,20,1,1.2,20,NA,NA
1007,"Control",1,1,3,3,18,12.6,5.4,70,30,1,5.4,30,NA,NA
1007,"Control",3,1,3,2,15,12,3,80,20,1,3,20,NA,NA
1007,"Control",1,1,1,1,6,3.6,2.4,60,40,1,2.4,40,NA,NA
1007,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1007,"Control",2,1,1,2,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1007,"Control",3,1,2,1,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1007,"Control",3,1,2,1,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1007,"Control",2,2,2,3,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1007,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1007,"Control",2,1,1,2,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1008,"Control",2,1,2,3,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1008,"Control",1,1,2,2,12,9.6,2.4,80,20,0,0,0,NA,NA
1008,"Control",1,1,2,2,12,10.8,1.2,90,10,0,0,0,NA,NA
1008,"Control",1,1,3,3,18,13.5,4.5,75,25,0,0,0,NA,NA
1008,"Control",3,1,2,1,9,7.2,1.8,80,20,1,1.8,20,NA,NA
1008,"Control",1,1,1,1,6,4.8,1.2,80,20,1,1.2,20,NA,NA
1008,"Control",1,1,3,3,18,12.6,5.4,70,30,0,0,0,NA,NA
1008,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1008,"Control",2,1,1,2,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1008,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1008,"Control",1,1,3,3,18,9,9,50,50,1,9,50,NA,NA
1008,"Control",2,1,1,2,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1008,"Control",3,1,3,2,15,13.5,1.5,90,10,0,0,0,NA,NA
1008,"Control",2,1,2,3,15,11.25,3.75,75,25,0,0,0,NA,NA
1008,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1008,"Control",1,1,2,2,12,7.2,4.8,60,40,1,4.8,40,NA,NA
1008,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1008,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1008,"Control",2,1,1,2,9,7.2,1.8,80,20,0,0,0,NA,NA
1008,"Control",3,1,2,1,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1008,"Control",2,1,1,2,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1008,"Control",3,1,2,1,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1008,"Control",2,1,1,2,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1008,"Control",1,1,2,2,12,9,3,75,25,0,0,0,NA,NA
1008,"Control",2,1,2,3,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1008,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1008,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1008,"Control",3,1,3,2,15,11.25,3.75,75,25,1,3.75,25,NA,NA
1008,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,30,2.7
1008,"Control",2,1,2,3,15,12,3,80,20,0,0,0,NA,NA
1008,"Control",3,1,3,2,15,9,6,60,40,1,6,40,NA,NA
1008,"Control",1,1,1,1,6,4.2,1.8,70,30,0,0,0,NA,NA
1008,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1008,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1008,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1008,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1008,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1008,"Control",2,1,1,2,9,6.75,2.25,75,25,0,0,0,NA,NA
1008,"Control",3,1,3,2,15,12,3,80,20,1,3,20,NA,NA
1008,"Control",2,1,2,3,15,9,6,60,40,1,6,40,NA,NA
1008,"Control",3,1,2,1,9,6.75,2.25,75,25,1,2.25,25,NA,NA
1008,"Control",1,1,1,1,6,3.6,2.4,60,40,1,2.4,40,NA,NA
1008,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,20,1.8
1008,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1008,"Control",2,1,2,3,15,13.5,1.5,90,10,0,0,0,NA,NA
1008,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1008,"Control",3,2,3,2,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1008,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1008,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1008,"Control",2,2,2,3,15,7.5,7.5,50,50,NA,NA,NA,40,6
1008,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1009,"Control",3,1,2,1,9,6.75,2.25,75,25,1,2.25,25,NA,NA
1009,"Control",1,1,2,2,12,9.6,2.4,80,20,1,2.4,20,NA,NA
1009,"Control",1,1,3,3,18,12.6,5.4,70,30,1,5.4,30,NA,NA
1009,"Control",1,1,1,1,6,4.8,1.2,80,20,1,1.2,20,NA,NA
1009,"Control",3,1,2,1,9,7.2,1.8,80,20,1,1.8,20,NA,NA
1009,"Control",1,1,1,1,6,4.2,1.8,70,30,1,1.8,30,NA,NA
1009,"Control",2,1,2,3,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1009,"Control",2,1,2,3,15,12,3,80,20,1,3,20,NA,NA
1009,"Control",1,1,3,3,18,9,9,50,50,1,9,50,NA,NA
1009,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",2,1,2,3,15,13.5,1.5,90,10,1,1.5,10,NA,NA
1009,"Control",1,1,2,2,12,10.8,1.2,90,10,1,1.2,10,NA,NA
1009,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",3,1,2,1,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1009,"Control",2,1,2,3,15,9,6,60,40,1,6,40,NA,NA
1009,"Control",2,1,1,2,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1009,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",3,1,3,2,15,13.5,1.5,90,10,1,1.5,10,NA,NA
1009,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1009,"Control",1,1,2,2,12,7.2,4.8,60,40,1,4.8,40,NA,NA
1009,"Control",2,1,1,2,9,7.2,1.8,80,20,1,1.8,20,NA,NA
1009,"Control",2,1,1,2,9,6.75,2.25,75,25,1,2.25,25,NA,NA
1009,"Control",2,1,2,3,15,11.25,3.75,75,25,1,3.75,25,NA,NA
1009,"Control",2,1,2,3,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1009,"Control",1,1,2,2,12,9,3,75,25,1,3,25,NA,NA
1009,"Control",3,1,2,1,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1009,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1009,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1009,"Control",2,1,1,2,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1009,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1009,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",3,1,3,2,15,9,6,60,40,1,6,40,NA,NA
1009,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",2,1,1,2,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1009,"Control",1,1,1,1,6,3.6,2.4,60,40,1,2.4,40,NA,NA
1009,"Control",2,2,2,3,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1009,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1009,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1009,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",3,1,3,2,15,11.25,3.75,75,25,1,3.75,25,NA,NA
1009,"Control",3,1,3,2,15,12,3,80,20,1,3,20,NA,NA
1009,"Control",2,1,1,2,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1009,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1009,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1009,"Control",1,1,3,3,18,13.5,4.5,75,25,1,4.5,25,NA,NA
1009,"Control",3,2,3,2,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1009,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1009,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1009,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1010,"Control",3,1,2,1,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1010,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1010,"Control",2,1,2,3,15,9.75,5.25,65,35,0,0,0,NA,NA
1010,"Control",3,1,2,1,9,6.75,2.25,75,25,1,2.25,25,NA,NA
1010,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1010,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1010,"Control",1,1,1,1,6,4.8,1.2,80,20,0,0,0,NA,NA
1010,"Control",2,2,2,3,15,7.5,7.5,50,50,NA,NA,NA,40,6
1010,"Control",2,1,1,2,9,5.4,3.6,60,40,0,0,0,NA,NA
1010,"Control",2,1,2,3,15,12,3,80,20,0,0,0,NA,NA
1010,"Control",1,1,3,3,18,9,9,50,50,1,9,50,NA,NA
1010,"Control",2,1,1,2,9,6.75,2.25,75,25,0,0,0,NA,NA
1010,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1010,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1010,"Control",2,1,1,2,9,6.3,2.7,70,30,0,0,0,NA,NA
1010,"Control",2,1,1,2,9,7.2,1.8,80,20,0,0,0,NA,NA
1010,"Control",3,1,2,1,9,7.2,1.8,80,20,1,1.8,20,NA,NA
1010,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1010,"Control",1,1,3,3,18,13.5,4.5,75,25,0,0,0,NA,NA
1010,"Control",3,1,3,2,15,13.5,1.5,90,10,0,0,0,NA,NA
1010,"Control",3,2,3,2,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1010,"Control",1,1,3,3,18,12.6,5.4,70,30,0,0,0,NA,NA
1010,"Control",2,1,1,2,9,6.3,2.7,70,30,0,0,0,NA,NA
1010,"Control",3,1,3,2,15,11.25,3.75,75,25,0,0,0,NA,NA
1010,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1010,"Control",3,1,2,1,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1010,"Control",1,1,2,2,12,9,3,75,25,0,0,0,NA,NA
1010,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1010,"Control",2,1,1,2,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1010,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1010,"Control",1,1,2,2,12,9.6,2.4,80,20,0,0,0,NA,NA
1010,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1010,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1010,"Control",1,1,2,2,12,7.8,4.2,65,35,0,0,0,NA,NA
1010,"Control",1,1,2,2,12,7.2,4.8,60,40,0,0,0,NA,NA
1010,"Control",1,1,2,2,12,7.8,4.2,65,35,0,0,0,NA,NA
1010,"Control",1,1,2,2,12,10.8,1.2,90,10,0,0,0,NA,NA
1010,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1010,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1010,"Control",2,1,2,3,15,11.25,3.75,75,25,0,0,0,NA,NA
1010,"Control",2,1,2,3,15,13.5,1.5,90,10,0,0,0,NA,NA
1010,"Control",3,1,3,2,15,9,6,60,40,1,6,40,NA,NA
1010,"Control",1,1,1,1,6,3.6,2.4,60,40,1,2.4,40,NA,NA
1010,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1010,"Control",3,1,3,2,15,12,3,80,20,0,0,0,NA,NA
1010,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1010,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,40,4.8
1010,"Control",1,1,1,1,6,4.2,1.8,70,30,0,0,0,NA,NA
1010,"Control",2,1,2,3,15,9,6,60,40,1,6,40,NA,NA
1010,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1010,"Control",2,1,2,3,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1011,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1011,"Control",1,1,1,1,6,4.8,1.2,80,20,0,0,0,NA,NA
1011,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1011,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1011,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1011,"Control",1,1,1,1,6,3.6,2.4,60,40,1,2.4,40,NA,NA
1011,"Control",2,1,1,2,9,6.75,2.25,75,25,0,0,0,NA,NA
1011,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1011,"Control",2,1,1,2,9,6.3,2.7,70,30,0,0,0,NA,NA
1011,"Control",2,1,2,3,15,13.5,1.5,90,10,0,0,0,NA,NA
1011,"Control",2,1,2,3,15,12,3,80,20,0,0,0,NA,NA
1011,"Control",1,1,2,2,12,9,3,75,25,0,0,0,NA,NA
1011,"Control",1,1,2,2,12,10.8,1.2,90,10,0,0,0,NA,NA
1011,"Control",3,1,2,1,9,6.75,2.25,75,25,1,2.25,25,NA,NA
1011,"Control",2,1,1,2,9,7.2,1.8,80,20,0,0,0,NA,NA
1011,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1011,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1011,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1011,"Control",3,1,2,1,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1011,"Control",2,1,1,2,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1011,"Control",3,1,3,2,15,12,3,80,20,0,0,0,NA,NA
1011,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1011,"Control",3,1,3,2,15,11.25,3.75,75,25,1,3.75,25,NA,NA
1011,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1011,"Control",3,1,2,1,9,7.2,1.8,80,20,0,0,0,NA,NA
1011,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1011,"Control",2,1,1,2,9,6.3,2.7,70,30,0,0,0,NA,NA
1011,"Control",1,1,3,3,18,13.5,4.5,75,25,0,0,0,NA,NA
1011,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1011,"Control",1,1,2,2,12,9.6,2.4,80,20,0,0,0,NA,NA
1011,"Control",1,1,3,3,18,9,9,50,50,1,9,50,NA,NA
1011,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1011,"Control",3,1,2,1,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1011,"Control",1,1,1,1,6,4.2,1.8,70,30,0,0,0,NA,NA
1011,"Control",2,1,1,2,9,5.4,3.6,60,40,0,0,0,NA,NA
1011,"Control",2,2,2,3,15,7.5,7.5,50,50,NA,NA,NA,40,6
1011,"Control",2,1,2,3,15,9,6,60,40,1,6,40,NA,NA
1011,"Control",3,2,3,2,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1011,"Control",3,1,3,2,15,9,6,60,40,1,6,40,NA,NA
1011,"Control",2,1,2,3,15,9.75,5.25,65,35,0,0,0,NA,NA
1011,"Control",1,1,2,2,12,7.2,4.8,60,40,1,4.8,40,NA,NA
1011,"Control",3,1,3,2,15,13.5,1.5,90,10,0,0,0,NA,NA
1011,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1011,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1011,"Control",2,1,2,3,15,11.25,3.75,75,25,0,0,0,NA,NA
1011,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1011,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1011,"Control",2,1,2,3,15,9.75,5.25,65,35,0,0,0,NA,NA
1011,"Control",1,1,3,3,18,12.6,5.4,70,30,0,0,0,NA,NA
1011,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1011,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1012,"Control",2,2,2,3,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1012,"Control",3,1,3,2,15,9.75,5.25,65,35,0,0,0,NA,NA
1012,"Control",2,1,1,2,9,5.4,3.6,60,40,0,0,0,NA,NA
1012,"Control",3,2,3,2,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1012,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1012,"Control",2,1,2,3,15,11.25,3.75,75,25,0,0,0,NA,NA
1012,"Control",1,1,2,2,12,10.8,1.2,90,10,0,0,0,NA,NA
1012,"Control",3,1,2,1,9,7.2,1.8,80,20,0,0,0,NA,NA
1012,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1012,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1012,"Control",2,1,1,2,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1012,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,50,3
1012,"Control",2,1,2,3,15,12,3,80,20,0,0,0,NA,NA
1012,"Control",2,1,2,3,15,9.75,5.25,65,35,0,0,0,NA,NA
1012,"Control",2,1,2,3,15,9.75,5.25,65,35,0,0,0,NA,NA
1012,"Control",3,1,3,2,15,13.5,1.5,90,10,0,0,0,NA,NA
1012,"Control",1,1,1,1,6,4.2,1.8,70,30,0,0,0,NA,NA
1012,"Control",1,1,3,3,18,13.5,4.5,75,25,0,0,0,NA,NA
1012,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1012,"Control",3,1,3,2,15,11.25,3.75,75,25,0,0,0,NA,NA
1012,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,50,6
1012,"Control",1,1,1,1,6,4.8,1.2,80,20,0,0,0,NA,NA
1012,"Control",1,1,2,2,12,7.8,4.2,65,35,0,0,0,NA,NA
1012,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",2,1,1,2,9,6.3,2.7,70,30,0,0,0,NA,NA
1012,"Control",3,1,2,1,9,6.75,2.25,75,25,0,0,0,NA,NA
1012,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",1,1,3,3,18,9,9,50,50,1,9,50,NA,NA
1012,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",2,1,2,3,15,13.5,1.5,90,10,0,0,0,NA,NA
1012,"Control",1,1,3,3,18,12.6,5.4,70,30,0,0,0,NA,NA
1012,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",3,1,2,1,9,5.4,3.6,60,40,0,0,0,NA,NA
1012,"Control",1,1,2,2,12,9,3,75,25,0,0,0,NA,NA
1012,"Control",2,1,1,2,9,6.75,2.25,75,25,0,0,0,NA,NA
1012,"Control",1,1,2,2,12,7.2,4.8,60,40,0,0,0,NA,NA
1012,"Control",2,1,1,2,9,6.3,2.7,70,30,0,0,0,NA,NA
1012,"Control",1,1,1,1,6,3.6,2.4,60,40,0,0,0,NA,NA
1012,"Control",2,1,2,3,15,9,6,60,40,0,0,0,NA,NA
1012,"Control",3,1,2,1,9,6.3,2.7,70,30,0,0,0,NA,NA
1012,"Control",3,1,2,1,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1012,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1012,"Control",1,1,2,2,12,7.8,4.2,65,35,0,0,0,NA,NA
1012,"Control",3,1,3,2,15,12,3,80,20,0,0,0,NA,NA
1012,"Control",3,1,2,1,9,6.3,2.7,70,30,0,0,0,NA,NA
1012,"Control",1,1,2,2,12,9.6,2.4,80,20,0,0,0,NA,NA
1012,"Control",2,1,1,2,9,7.2,1.8,80,20,0,0,0,NA,NA
1012,"Control",3,1,3,2,15,9,6,60,40,0,0,0,NA,NA
1013,"Control",1,1,3,3,18,9,9,50,50,1,9,50,NA,NA
1013,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1013,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,40,4.8
1013,"Control",3,1,2,1,9,7.2,1.8,80,20,0,0,0,NA,NA
1013,"Control",2,1,1,2,9,6.3,2.7,70,30,0,0,0,NA,NA
1013,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,40,2.4
1013,"Control",1,1,2,2,12,9.6,2.4,80,20,0,0,0,NA,NA
1013,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1013,"Control",1,1,3,3,18,13.5,4.5,75,25,0,0,0,NA,NA
1013,"Control",1,1,3,3,18,12.6,5.4,70,30,0,0,0,NA,NA
1013,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,40,4.8
1013,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1013,"Control",1,1,1,1,6,3.6,2.4,60,40,1,2.4,40,NA,NA
1013,"Control",3,1,2,1,9,6.75,2.25,75,25,1,2.25,25,NA,NA
1013,"Control",1,2,2,2,12,6,6,50,50,NA,NA,NA,40,4.8
1013,"Control",1,1,1,1,6,4.2,1.8,70,30,0,0,0,NA,NA
1013,"Control",3,2,3,2,15,7.5,7.5,50,50,NA,NA,NA,50,7.5
1013,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,30,2.7
1013,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,30,2.7
1013,"Control",1,1,2,2,12,7.2,4.8,60,40,1,4.8,40,NA,NA
1013,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1013,"Control",3,1,3,2,15,11.25,3.75,75,25,0,0,0,NA,NA
1013,"Control",2,1,2,3,15,9.75,5.25,65,35,0,0,0,NA,NA
1013,"Control",2,1,1,2,9,7.2,1.8,80,20,0,0,0,NA,NA
1013,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1013,"Control",1,1,2,2,12,9,3,75,25,0,0,0,NA,NA
1013,"Control",2,1,2,3,15,9,6,60,40,0,0,0,NA,NA
1013,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1013,"Control",2,2,2,3,15,7.5,7.5,50,50,NA,NA,NA,30,4.5
1013,"Control",2,1,1,2,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1013,"Control",2,1,2,3,15,9.75,5.25,65,35,0,0,0,NA,NA
1013,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1013,"Control",2,1,2,3,15,12,3,80,20,0,0,0,NA,NA
1013,"Control",3,1,2,1,9,5.4,3.6,60,40,1,3.6,40,NA,NA
1013,"Control",1,1,2,2,12,10.8,1.2,90,10,0,0,0,NA,NA
1013,"Control",2,1,1,2,9,5.4,3.6,60,40,0,0,0,NA,NA
1013,"Control",2,1,1,2,9,6.75,2.25,75,25,0,0,0,NA,NA
1013,"Control",1,2,1,1,6,3,3,50,50,NA,NA,NA,40,2.4
1013,"Control",3,1,3,2,15,13.5,1.5,90,10,0,0,0,NA,NA
1013,"Control",1,1,1,1,6,4.8,1.2,80,20,0,0,0,NA,NA
1013,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1013,"Control",3,1,2,1,9,6.3,2.7,70,30,1,2.7,30,NA,NA
1013,"Control",2,1,1,2,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1013,"Control",2,1,2,3,15,11.25,3.75,75,25,0,0,0,NA,NA
1013,"Control",3,1,3,2,15,12,3,80,20,0,0,0,NA,NA
1013,"Control",3,1,3,2,15,9,6,60,40,1,6,40,NA,NA
1013,"Control",3,1,3,2,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1013,"Control",2,1,2,3,15,13.5,1.5,90,10,0,0,0,NA,NA
1013,"Control",3,1,2,1,9,4.5,4.5,50,50,1,4.5,50,NA,NA
1013,"Control",1,1,2,2,12,7.8,4.2,65,35,1,4.2,35,NA,NA
1013,"Control",2,2,1,2,9,4.5,4.5,50,50,NA,NA,NA,40,3.6
1015,"Control",1,1,1,1,6,3.6,2.4,60,40,1,2.4,40,NA,NA
1015,"Control",3,2,2,1,9,4.5,4.5,50,50,NA,NA,NA,50,4.5
1015,"Control",2,1,2,3,15,11.25,3.75,75,25,1,3.75,25,NA,NA
1015,"Control",2,1,2,3,15,9.75,5.25,65,35,1,5.25,35,NA,NA
1015,"Control",1,1,2,2,12,7.2,4.8,60,40,1,4.8,40,NA,NA
